name,rating,instructions,type,muscle,equipment,level
Partner farmer's walk,9.2,"{""Place two dumbbells on the floor in front of you, making sure you have enough open space to walk. If you canâ€™t reach the floor safely without rounding your back, elevate the weights off the floor. (When doing this as a competition, start side by side with your partner and make sure thereâ€™s enough room for both of you.)"",""Squat down keeping your back flatâ€”donâ€™t bend overâ€”and grasp the weights with a neutral grip. Stand back up by extending at the hips and knees; this will be your starting position."",""Keeping the weights at your sides, walk forward as far as you can; if necessary turn around and return the other way. Try to beat your partner for both distance and time."",""Descend into a squat to lower the weights back to the floor.""}",Strength,Forearms,Dumbbell,Beginner
Kneeling Forearm Stretch,9,"{""Start by kneeling on a mat with your palms flat and your fingers pointing back toward your knees."",""Slowly lean back keeping your palms flat on the floor until you feel a stretch in your wrists and forearms. Hold for 20-30 seconds.""}",Stretching,Forearms,None,Beginner
Weighted pull-up,8.9,"{""Attach a weight to a dip belt and secure it around your waist. Grab the pull-up bar with the palms of your hands facing forward. For a medium grip, your hands should be spaced at shoulder width. Both arms should be extended in front of you holding the bar at the chosen grip."",""You'll want to bring your torso back about 30 degrees while creating a curvature in your lower back and sticking your chest out. This will be your starting position."",""Now, exhale and pull your torso up until your head is above your hands. Concentrate on squeezing your shoulder blades back and down as you reach the top contracted position."",""After a brief moment at the top contracted position, inhale and slowly lower your torso back to the starting position with your arms extended and your lats fully stretched.""}",Strength,Lats,Other,Intermediate
Sit Squats,8.3,"{""Stand with your feet shoulder width apart. This will be your starting position."",""Begin the movement by flexing your knees and hips, sitting back with your hips."",""Continue until you have squatted a portion of the way down, but are above parallel, and quickly reverse the motion until you return to the starting position. Repeat for 5-10 repetitions.""}",Stretching,Quadriceps,None,Beginner
Pullups,8.9,"{""Grab the pull-up bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width."",""As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position."",""Pull your torso up until the bar touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar."",""After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched."",""Repeat this motion for the prescribed amount of repetitions.""}",Strength,Lats,Body Only,Intermediate
Rocky Pull-Ups/Pulldowns,8.9,"{""Grab the pull-up bar with the palms facing forward using a wide grip."",""As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position."",""Pull your torso up until the bar touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar."",""After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched."",""Now repeat the same movements as described above except this time your torso will remain straight as you go up and the bar will touch the back of the neck instead of the upper chest. Tip: Use the head to lean forward slightly as it will help you properly execute this portion of the exercise."",""Once you have lowered yourself back down to the starting position, repeat the exercise for the prescribed amount of repetitions in your program.""}",Strength,Lats,Other,Beginner
Close-grip pull-down,8.9,"{""Sit down on a pull-down machine with a V-Bar attached to the top pulley."",""Adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar."",""Grab the V-bar with the palms facing each other (a neutral grip). Stick your chest out and lean yourself back slightly (around 30-degrees) in order to better engage the lats. This will be your starting position."",""Using your lats, pull the bar down as you squeeze your shoulder blades. Continue until your chest nearly touches the V-bar. Exhale as you execute this motion. Tip: Keep the torso stationary throughout the movement."",""After a second hold on the contracted position, slowly bring the bar back to the starting position as you breathe in."",""Repeat for the prescribed number of repetitions.""}",Strength,Lats,Cable,Intermediate
Pull-up,8.8,"{""Take a wide grip on a pull-up bar, hanging freely with your arms extended. This will be your starting position."",""Pull yourself up by flexing the elbows and adducting the glenohumeral joint. Do not swing or use momentum to complete the movement. Attempt to get your chin above your hands."",""Pause at the top of the motion before lowering yourself to the starting position.""}",Strength,Lats,Body Only,Beginner
Muscle Up,8.8,"{""Grip the rings using a false grip, with the base of your palms on top of the rings. Initiate a pull up by pulling the elbows down to your side, flexing the elbows."",""As you reach the top position of the pull-up, pull the rings to your armpits as you roll your shoulders forward, allowing your elbows to move straight back behind you. This puts you into the proper position to continue into the dip portion of the movement."",""Maintaining control and stability, extend through the elbow to complete the motion."",""Use care when lowering yourself to the ground.""}",Strength,Lats,Body Only,Intermediate
Shotgun row,8.7,"{""Attach a single handle to a low cable."",""After selecting the correct weight, stand a couple feet back with a wide-split stance. Your arm should be extended and your shoulder forward. This will be your starting position."",""Perform the movement by retracting the shoulder and flexing the elbow. As you pull, supinate the wrist, turning the palm upward as you go."",""After a brief pause, return to the starting position. <""}",Strength,Lats,Cable,Intermediate
Close-Grip Front Lat Pulldown,8.7,"{""Sit down on a pull-down machine with a wide bar attached to the top pulley. Make sure that you adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar."",""Grab the bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width."",""As you have both arms extended in front of you - while holding the bar at the chosen grip width - bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position."",""As you breathe out, bring the bar down until it touches your upper chest by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary (only the arms should move). The forearms should do no other work except for holding the bar; therefore do not try to pull the bar down using the forearms."",""After a second in the contracted position, while squeezing your shoulder blades together, slowly raise the bar back to the starting position when your arms are fully extended and the lats are fully stretched. Inhale during this portion of the movement."",""6. Repeat this motion for the prescribed amount of repetitions.""}",Strength,Lats,Cable,Intermediate
Medicine ball slam,7.2,"{""Hold a medine ball with both hands and stand with your feet at shoulder width. This will be your starting position."",""Initiate the countermovement by raising the ball above your head and fully extending your body."",""Reverse the motion, slamming the ball into the ground directly in front of you as hard as you can."",""Receive the ball with both hands on the bounce and repeat the movement.""}",Plyometrics,Lats,Medicine Ball,Intermediate
V-bar pull-up,8.7,"{""Start by placing the middle of the V-bar in the middle of the pull-up bar (assuming that the pull-up station you are using does not have neutral grip handles). The V-Bar handles will be facing down so that you can hang from the pull-up bar through the use of the handles."",""Once you securely place the V-bar, take a hold of the bar from each side and hang from it. Stick your chest out and lean yourself back slightly in order to better engage the lats. This will be your starting position."",""Using your lats, pull your torso up while leaning your head back slightly so that you do not hit yourself with the chin-up bar. Continue until your chest nearly touches the V-bar. Exhale as you execute this motion."",""After a second hold on the contracted position, slowly lower your body back to the starting position as you breathe in."",""Repeat for the prescribed number of repetitions.""}",Strength,Lats,n/a,Intermediate
Rope climb,8.6,"{""Grab the rope with both hands above your head. Pull down on the rope as you take a small jump."",""Wrap the rope around one leg, using your feet to pinch the rope. Reach up as high as possible with your arms, gripping the rope tightly."",""Release the rope from your feet as you pull yourself up with your arms, bringing your knees towards your chest."",""Resecure your feet on the rope, and then stand up to take another high hold on the rope. Continue until you reach the top of the rope."",""To lower yourself, loosen the grip of your feet on the rope as you slide down using a hand over hand motion.""}",Strength,Lats,Body Only,Intermediate
Wide-Grip Rear Pull-Up,8.5,"{""Grab the pull-up bar with the palms facing forward using a wide grip."",""As you have both arms extended in front of you holding the bar, bring your torso forward and head so that there is an imaginary line from the pull-up bar to the back of your neck. This is your starting position."",""Pull your torso up until the bar is near the back of your neck. To do this, draw the shoulders and upper arms down and back while slightly leaning your head forward. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar."",""After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched."",""Repeat this motion for the prescribed amount of repetitions.""}",Strength,Lats,Body Only,Beginner
Straight-arm rope pull-down,8.5,"{""Attach a rope to a high pulley and make your weight selection. Stand a couple feet back from the pulley with your feet staggered and take the rope with both hands. Lean forward from the hip, keeping your back straight, with your arms extended up in front of you. This will be your starting position."",""Keeping your arms straight, extend the shoulder to pull the rope down to your thighs."",""Pause at the bottom of the motion, squeezing your lats."",""Return to the starting position without allowing the weight to fully rest on the stack.""}",Strength,Lats,Cable,Intermediate
Lat pull-down,8.4,"{""Sit down on a pull-down machine with a wide bar attached to the top pulley. Make sure that you adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar."",""Grab the bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width."",""As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position."",""As you breathe out, bring the bar down until it touches your upper chest by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary and only the arms should move. The forearms should do no other work except for holding the bar; therefore do not try to pull down the bar using the forearms."",""After a second at the contracted position squeezing your shoulder blades together, slowly raise the bar back to the starting position when your arms are fully extended and the lats are fully stretched. Inhale during this portion of the movement."",""Repeat this motion for the prescribed amount of repetitions.""}",Strength,Lats,Cable,Intermediate
Reverse-grip lat pull-down,8.4,"{""Sit down on a pull-down machine with a wide bar attached to the top pulley. Adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar."",""Grab the pull-down bar with the palms facing your torso (a supinated grip). Make sure that the hands are placed closer than the shoulder width."",""As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position."",""As you breathe out, pull the bar down until it touches your upper chest by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the fully contracted position and keep the elbows close to your body. The upper torso should remain stationary as your bring the bar to you and only the arms should move. The forearms should do no other work other than hold the bar."",""After a second on the contracted position, while breathing in, slowly bring the bar back to the starting position when your arms are fully extended and the lats are fully stretched."",""Repeat this motion for the prescribed amount of repetitions.""}",Strength,Lats,Machine,Intermediate
Gironda Sternum Chins,8.3,"{""Grasp the pull-up bar with a shoulder width underhand grip."",""Now hang with your arms fully extended and stick your chest out and lean back. Tip: You will be leaning back throughout the entire movement. This will be your starting position."",""Start pulling yourself towards the bar with your spine arched throughout the movement and your head leaning back as far away from the bar as possible. Exhale as you perform this portion of the movement. Tip: At the upper end of the movement, your hips and legs will be at about a 45-degree angle to the floor."",""Keep pulling until your collarbone passes the bar and your lower chest or sternum area touches it. Hold that contraction for a second. Tip: By the time you've completed this portion of the movement; your head will be parallel to the floor."",""Slowly start going back to the starting position as you inhale."",""Repeat for the recommended amount of repetitions.""}",Strength,Lats,Other,Beginner
Chair Lower Back Stretch,9,"{""Sit upright on a chair."",""Bend to one side with your arm over your head. You can hold onto the chair with your free hand."",""Hold for 10 seconds, and repeat for your other side.""}",Stretching,Lats,None,Beginner
Side To Side Chins,8.3,"{""Grab the pull-up bar with the palms facing forward using a wide grip."",""As you have both arms extended in front of you holding the bar at a wide grip, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position."",""Pull your torso up while leaning to the left hand side until the bar almost touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space (no swinging) and only the arms should move. The forearms should do no other work other than hold the bar."",""After a second of contraction, inhale as you go back to the starting position."",""Now, pull your torso up while leaning to the right hand side until the bar almost touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar."",""After a second of contraction, inhale as you go back to the starting position."",""Repeat steps 3-6 until you have performed the prescribed amount of repetitions for each side.""}",Strength,Lats,Body Only,Intermediate
Machine seated row,8.3,"{""Load an appropriate weight onto the pins and adjust the seat height so that the handles are at chest level. Grasp the handles with either a neutral or pronated grip. This will be your starting position."",""Pull the handles towards your torso, retracting your shoulder blades as you flex the elbow."",""Pause at the bottom of the motion, and then slowly return the handles to the starting position. For multiple repetitions, avoid completely returning the weight to the stops to keep tension on the muscles being worked.""}",Strength,Lats,Machine,Beginner
Straight-Arm Pulldown,8.2,"{""You will start by grabbing the wide bar from the top pulley of a pulldown machine and using a wider than shoulder-width pronated (palms down) grip. Step backwards two feet or so."",""Bend your torso forward at the waist by around 30-degrees with your arms fully extended in front of you and a slight bend at the elbows. If your arms are not fully extended then you need to step a bit more backwards until they are. Once your arms are fully extended and your torso is slightly bent at the waist, tighten the lats and then you are ready to begin."",""While keeping the arms straight, pull the bar down by contracting the lats until your hands are next to the side of the thighs. Breathe out as you perform this step."",""While keeping the arms straight, go back to the starting position while breathing in."",""Repeat for the recommended amount of repetitions.""}",Strength,Lats,Cable,Intermediate
Single-arm kneeling lat pull-down,8.2,"{""Attach a single handle to a high pulley and make your weight selection."",""Kneel in front of the cable tower, taking the cable with one hand with your arm extended. This will be your starting position."",""Starting with your palm facing forward, pull the weight down to your torso by flexing the elbow and retract the shoulder blade. As you do so, rotate the wrist so that at the completion of the movement, your palm is now facing you."",""After a brief pause, return to the starting position.""}",Strength,Lats,Cable,Beginner
Elevated Cable Rows,8.1,"{""Get a platform of some sort (it can be an aerobics or calf raise platform) that is around 4-6 inches in height."",""Place it on the seat of the cable row machine."",""Sit down on the machine and place your feet on the front platform or crossbar provided making sure that your knees are slightly bent and not locked."",""Lean over as you keep the natural alignment of your back and grab the V-bar handles."",""With your arms extended pull back until your torso is at a 90-degree angle from your legs. Your back should be slightly arched and your chest should be sticking out. You should be feeling a nice stretch on your lats as you hold the bar in front of you. This is the starting position of the exercise."",""Keeping the torso stationary, pull the handles back towards your torso while keeping the arms close to it until you touch the abdominals. Breathe out as you perform that movement. At that point you should be squeezing your back muscles hard. Hold that contraction for a second and slowly go back to the original position while breathing in."",""Repeat for the recommended amount of repetitions.""}",Strength,Lats,Cable,Beginner
Neutral-grip pull-up,8,"{""Take a neutral grip on parallel pull-up bars, hanging freely with your arms extended. This will be your starting position."",""Pull yourself up by flexing the elbows and extending the glenohumeral joint. Do not swing or use momentum to complete the movement. Attempt to get your chin above your hands."",""Pause at the top of the motion before lowering yourself to the starting position.""}",Strength,Lats,Body Only,Intermediate
Machine-assisted pull-up,7.9,"{""Use an assisted pull-up machine or securely attach a heavy-duty band to a pull-up station, securing it around just one knee. The tension should be taut enough to pull that lower leg up. Grasp the bar with an overhand grip just outside shoulder width and hang at full arm extension. This is your start position."",""Keeping your body straight, contract your lats to pull yourself up as high as you can, driving your elbows down."",""Slowly release to full arm extension. Repeat for the required number of reps and safely dismount from the apparatus.""}",Strength,Lats,Machine,Beginner
Full Range-Of-Motion Lat Pulldown,7.9,"{""Either standing or seated on a high bench, grasp two stirrup cables that are attached to the high pulleys. Grab with the opposing hand so your arms are crisscrossed about you and your palms are facing forward."",""Keeping your chest up and maintaining a slight arch in your lower back, pull the handles down as if you were doing a regular pulldown. The range of motion will be more of an arc. During the movement, rotate your hands so that in the bottom position your palms face each other rather than forward. Return slowly to the starting position and repeat.""}",Strength,Lats,Cable,Beginner
Bent-arm barbell pull-over,7.6,"{""Lie on a flat bench with a barbell using a shoulder grip width."",""Hold the bar straight over your chest with a bend in your arms. This will be your starting position."",""While keeping your arms in the bent arm position, lower the weight slowly in an arc behind your head while breathing in until you feel a stretch on the chest."",""At that point, bring the barbell back to the starting position using the arc through which the weight was lowered and exhale as you perform this movement."",""Hold the weight on the initial position for a second and repeat the motion for the prescribed number of repetitions.""}",Strength,Lats,Barbell,Intermediate
Band-assisted pull-up,7.2,"{""Choke the band around the center of the pullup bar. You can use different bands to provide varying levels of assistance."",""Pull the end of the band down, and place one bent knee into the loop, ensuring it won't slip out. Take a medium to wide grip on the bar. This will be your starting position."",""Pull yourself upward by contracting the lats as you flex the elbow. The elbow should be driven to your side. Pull to the front, attempting to get your chin over the bar. Avoid swinging or jerking movements."",""After a brief pause, return to the starting position.""}",Strength,Lats,Bands,Intermediate
Single-arm pull-down,7.1,"{""Select an appropriate weight and adjust the knee pad to help keep you down. Grasp the handle with a pronated grip. This will be your starting position."",""Pull the handle down, squeezing your elbow to your side as you flex the elbow."",""Pause at the bottom of the motion, and then slowly return the handle to the starting position."",""For multiple repetitions, avoid completely returning the weight to keep tension on the muscles being worked.""}",Strength,Lats,Machine,Intermediate
Cable Incline Pushdown,7,"{""Lie on incline an bench facing away from a high pulley machine that has a straight bar attachment on it."",""Grasp the straight bar attachment overhead with a pronated (overhand; palms down) shoulder width grip and extend your arms in front of you. The bar should be around 2 inches away from your upper thighs. This will be your starting position."",""Keeping the upper arms stationary, lift your arms back in a semi circle until the bar is straight over your head. Breathe in during this portion of the movement."",""Slowly go back to the starting position using your lats and hold the contraction once you reach the starting position. Breathe out during the execution of this movement."",""Repeat for the recommended amount of repetitions.""}",Strength,Lats,n/a,Intermediate
Kipping Muscle Up,5.8,"{""Grip the rings using a false grip, with the base of your palms on top of the rings."",""Begin with a movement swinging your legs backward slightly."",""Counter that movement by swinging your legs forward and up, jerking your chin and chest back, pulling yourself up with both arms as you do so. As you reach the top position of the pull-up, pull the rings to your armpits as you roll your shoulders forward, allowing your elbows to move straight back behind you. This puts you into the proper position to continue into the dip portion of the movement."",""Maintaining control and stability, extend through the elbow to complete the motion."",""Use care when lowering yourself to the ground.""}",Strength,Lats,Body Only,Intermediate
Behind-the-neck pull-down,5.8,"{""Sit down on a pull-down machine with a wide bar attached to the top pulley. Make sure that you adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar."",""Grab the bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width."",""As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso and head forward. Think of an imaginary line from the center of the bar down to the back of your neck. This is your starting position."",""As you breathe out, bring the bar down until it touches the back of your neck by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary and only the arms should move. The forearms should do no other work except for holding the bar; therefore do not try to pull down the bar using the forearms."",""After a second on the contracted position squeezing your shoulder blades together, slowly raise the bar back to the starting position when your arms are fully extended and the lats are fully stretched. Inhale during this portion of the movement."",""Repeat this motion for the prescribed amount of repetitions.""}",Strength,Lats,Cable,Intermediate
Hex-bar deadlift,4.8,"{""For this exercise load a trap bar, also known as a hex bar, to an appropriate weight resting on the ground. Stand in the center of the apparatus and grasp both handles."",""Lower your hips, look forward with your head and keep your chest up."",""Begin the movement by driving through the heels and extend your hips and knees. Avoid rounding your back at all times."",""At the completion of the movement, lower the weight back to the ground under control.""}",Strength,Quadriceps,Other,Intermediate
Floor rope climb,4.7,"{""Attach a climbing rope to a high beam or cross member. Below it, ensure that the smith machine bar is locked in place with the safeties and cannot move. Alternatively, a secure box could also be utilized."",""Stand on the bar, using the rope to balance yourself. This will be your starting position."",""Keeping your body straight, lean back and lower your body by slowly going hand over hand with the rope. Continue until you are perpendicular to the ground."",""Keeping your body straight, reverse the motion, going hand over hand back to the starting position.""}",Strength,Lats,Other,Beginner
One Arm Against Wall,3.6,"{""From a standing position, place a bent arm against a wall or doorway."",""Slowly lean toward your arm until you feel a stretch in your lats.""}",Stretching,Lats,Body Only,Intermediate
Catch and Overhead Throw,3.2,"{""Begin standing while facing a wall or a partner."",""Using both hands, position the ball behind your head, stretching as much as possible, and forcefully throw the ball forward."",""Ensure that you follow your throw through, being prepared to receive your rebound from your throw. If you are throwing against the wall, make sure that you stand close enough to the wall to receive the rebound, and aim a little higher than you would with a partner.""}",Plyometrics,Lats,Medicine Ball,Beginner
Dynamic Back Stretch,3.2,"{""Stand with your feet shoulder width apart. This will be your starting position."",""Keeping your arms straight, swing them straight up in front of you 5-10 times, increasing the range of motion each time until your arms are above your head.""}",Stretching,Lats,None,Beginner
Latissimus dorsi SMR,9.5,"{""While lying on the floor, place a foam roll under your back and to one side, just behind your arm pit. This will be your starting position."",""Keep the arm of the side being stretched behind and to the side of you as you shift your weight onto your lats, keeping your upper body off of the ground. Hold for 10-30 seconds, and switch sides.""}",Stretching,Lats,Foam Roll,Intermediate
One Handed Hang,9.2,"{""Grab onto a chinup bar with one hand, using a pronated grip. Keep your feet on the floor or a step. Allow the majority of your weight to hang from that hand, while keeping your feet on the ground. Hold for 10-20 seconds and switch sides.""}",Stretching,Lats,Body Only,Intermediate
T-Bar Row with Handle,8.9,"{""Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end."",""Stand over the bar, and position a Double D row handle around the bar next to the collar. Using your hips and legs, rise to a standing position."",""Assume a wide stance with your hips back and your chest up. Your arms should be extended. This will be your starting position."",""Pull the weight to your upper abdomen by retracting the shoulder blades and flexing the elbows. Do not jerk the weight or cheat during the movement."",""After a brief pause, return to the starting position.""}",Strength,Middle Back,Other,Intermediate
Reverse-grip bent-over row,8.9,"{""Stand erect while holding a barbell with a supinated grip (palms facing up)."",""Bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position."",""While keeping the torso stationary, lift the barbell as you breathe out, keeping the elbows close to the body and not doing any force with the forearm other than holding the weights. On the top contracted position, squeeze the back muscles and hold for a second."",""Slowly lower the weight again to the starting position as you inhale."",""Repeat for the recommended amount of repetitions.""}",Strength,Middle Back,Barbell,Intermediate
One-Arm Dumbbell Row,8.9,"{""Choose a flat bench and place a dumbbell on each side of it."",""Place the right leg on top of the end of the bench, bend your torso forward from the waist until your upper body is parallel to the floor, and place your right hand on the other end of the bench for support."",""Use the left hand to pick up the dumbbell on the floor and hold the weight while keeping your lower back straight. The palm of the hand should be facing your torso. This will be your starting position."",""Pull the resistance straight up to the side of your chest, keeping your upper arm close to your side and keeping the torso stationary. Breathe out as you perform this step. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. Also, make sure that the force is performed with the back muscles and not the arms. Finally, the upper torso should remain stationary and only the arms should move. The forearms should do no other work except for holding the dumbbell; therefore do not try to pull the dumbbell up using the forearms."",""Lower the resistance straight down to the starting position. Breathe in as you perform this step."",""Repeat the movement for the specified amount of repetitions."",""Switch sides and repeat again with the other arm.""}",Strength,Middle Back,Dumbbell,Intermediate
One-Arm Long Bar Row,8.9,"{""Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end."",""Stand next to the bar, and take a grip with one hand close to the collar. Using your hips and legs, rise to a standing position."",""Assume a bent-knee stance with your hips back and your chest up. Your arm should be extended. This will be your starting position."",""Pull the weight to your side by retracting the shoulder and flexing the elbow. Do not jerk the weight or cheat during the movement."",""After a brief pause, return to the starting position.""}",Strength,Middle Back,Barbell,Intermediate
T-Bar Row,8.8,"{""Load the bar to an appropriate weight for your training. Stand astride the bar and bend at the hips to take a pronated grip on the handles."",""Ensure that your back remains flat, and then remove the weight from the rests, letting the bar hang at arms length. This will be your starting position."",""Perform the movement by flexing the elbows and retracting the shoulder blades, pulling the weight to your chest."",""After a brief pause at the top of the motion, return to the starting position.""}",Strength,Middle Back,Other,Intermediate
On-Your-Back Quad Stretch,8.8,"{""Lie on a flat bench or step, and hang one leg and arm over the side."",""Bend the knee and hold the top of the foot. As you do this, be careful not to arch your lower back."",""Pull the belly button to the spine to stay in neutral. Press your foot down and into your hand. To add the hip stretch, lift the hip of the leg you're holding up toward the ceiling."",""Switch sides.""}",Stretching,Quadriceps,Body Only,Intermediate
Bent Over Two-Arm Long Bar Row,8.8,"{""Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward."",""Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent."",""Now grab the bar with both arms just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position."",""Pull the bar straight up with your elbows in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement. Breathe out as you lift the weight. Tip: Use a stirrup or double handle cable attachment by hooking it under the end of the bar."",""Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor. To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones)."",""Repeat for the recommended amount of repetitions.""}",Strength,Middle Back,Barbell,Intermediate
Alternating sit-through with crunch,8.8,"{""Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward."",""Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent."",""Now grab the bar with one arm just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position."",""Pull the bar straight up with your elbow in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement. Breathe out as you lift the weight. Tip: Do not allow for any swinging of the torso. Only the arm should move."",""Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor. To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones)."",""Repeat for the recommended amount of repetitions and switch arms.""}",Strength,Middle Back,Other,Intermediate
Anterior Tibialis-SMR,7.2,"{""Begin seated on the ground with your legs bent and your feet on the floor."",""Using a Muscle Roller or a rolling pin, apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat on the other leg.""}",Stretching,Calves,Other,Beginner
Rower,8.7,"{""To begin, seat yourself on the rower. Make sure that your heels are resting comfortably against the base of the foot pedals and that the straps are secured. Select the program that you wish to use, if applicable. Sit up straight and bend forward at the hips."",""There are three phases of movement when using a rower. The first phase is when you come forward on the rower. Your knees are bent and against your chest. Your upper body is leaning slightly forward while still maintaining good posture.Next, push against the foot pedals and extend your legs while bringing your hands to your upper abdominal area, squeezing your shoulders back as you do so. To avoid straining your back, use primarily your leg and hip muscles."",""The recovery phase simply involves straightening your arms, bending the knees, and bringing your body forward again as you transition back into the first phase.""}",Cardio,Middle Back,Machine,Intermediate
Seated Cable Rows,8.5,"{""For this exercise you will need access to a low pulley row machine with a V-bar. Note: The V-bar will enable you to have a neutral grip where the palms of your hands face each other. To get into the starting position, first sit down on the machine and place your feet on the front platform or crossbar provided making sure that your knees are slightly bent and not locked."",""Lean over as you keep the natural alignment of your back and grab the V-bar handles."",""With your arms extended pull back until your torso is at a 90-degree angle from your legs. Your back should be slightly arched and your chest should be sticking out. You should be feeling a nice stretch on your lats as you hold the bar in front of you. This is the starting position of the exercise."",""Keeping the torso stationary, pull the handles back towards your torso while keeping the arms close to it until you touch the abdominals. Breathe out as you perform that movement. At that point you should be squeezing your back muscles hard. Hold that contraction for a second and slowly go back to the original position while breathing in."",""Repeat for the recommended amount of repetitions.""}",Strength,Middle Back,Cable,Intermediate
